"NEGERI","year","week","No_of_dengue_case"
"PERLIS",2010," 1",NA
"KEDAH",2010," 1",NA
"PULAU PINANG",2010," 1",NA
"PERAK",2010," 1",NA
"SELANGOR",2010," 1",NA
"WPKL/PUTRAJAYA",2010," 1",NA
"N.SEMBILAN",2010," 1",NA
"MELAKA",2010," 1",NA
"JOHOR",2010," 1",NA
"PAHANG",2010," 1",NA
"TERENGGANU",2010," 1",NA
"KELANTAN",2010," 1",NA
"SARAWAK",2010," 1",NA
"SABAH",2010," 1",NA
"LABUAN",2010," 1",NA
"MALAYSIA",2010," 1","MISSING"
"PERLIS",2011," 1",NA
"KEDAH",2011," 1",NA
"PULAU PINANG",2011," 1",NA
"PERAK",2011," 1",NA
"SELANGOR",2011," 1",NA
"WPKL/PUTRAJAYA",2011," 1",NA
"N.SEMBILAN",2011," 1",NA
"MELAKA",2011," 1",NA
"JOHOR",2011," 1",NA
"PAHANG",2011," 1",NA
"TERENGGANU",2011," 1","1"
"KELANTAN",2011," 1",NA
"SARAWAK",2011," 1",NA
"SABAH",2011," 1",NA
"LABUAN",2011," 1",NA
"MALAYSIA",2011," 1","1"
"PERLIS",2012," 1",NA
"KEDAH",2012," 1",NA
"PULAU PINANG",2012," 1",NA
"PERAK",2012," 1",NA
"SELANGOR",2012," 1","1"
"WPKL/PUTRAJAYA",2012," 1",NA
"N.SEMBILAN",2012," 1",NA
"MELAKA",2012," 1",NA
"JOHOR",2012," 1",NA
"PAHANG",2012," 1",NA
"TERENGGANU",2012," 1",NA
"KELANTAN",2012," 1",NA
"SARAWAK",2012," 1",NA
"SABAH",2012," 1",NA
"LABUAN",2012," 1",NA
"MALAYSIA",2012," 1","1"
"PERLIS",2013," 1",NA
"KEDAH",2013," 1",NA
"PULAU PINANG",2013," 1",NA
"PERAK",2013," 1",NA
"SELANGOR",2013," 1",NA
"WPKL/PUTRAJAYA",2013," 1",NA
"N.SEMBILAN",2013," 1",NA
"MELAKA",2013," 1",NA
"JOHOR",2013," 1","1"
"PAHANG",2013," 1",NA
"TERENGGANU",2013," 1",NA
"KELANTAN",2013," 1",NA
"SARAWAK",2013," 1",NA
"SABAH",2013," 1",NA
"LABUAN",2013," 1",NA
"MALAYSIA",2013," 1","1"
"PERLIS",2014," 1",NA
"KEDAH",2014," 1","1"
"PULAU PINANG",2014," 1",NA
"PERAK",2014," 1",NA
"SELANGOR",2014," 1","1"
"WPKL/PUTRAJAYA",2014," 1",NA
"N.SEMBILAN",2014," 1","1"
"MELAKA",2014," 1",NA
"JOHOR",2014," 1","1"
"PAHANG",2014," 1",NA
"TERENGGANU",2014," 1",NA
"KELANTAN",2014," 1",NA
"SARAWAK",2014," 1",NA
"SABAH",2014," 1",NA
"LABUAN",2014," 1",NA
"MALAYSIA",2014," 1","4"
"PERLIS",2015," 1",NA
"KEDAH",2015," 1",NA
"PULAU PINANG",2015," 1","2"
"PERAK",2015," 1",NA
"SELANGOR",2015," 1","2"
"WPKL/PUTRAJAYA",2015," 1",NA
"N.SEMBILAN",2015," 1",NA
"MELAKA",2015," 1",NA
"JOHOR",2015," 1","1"
"PAHANG",2015," 1",NA
"TERENGGANU",2015," 1",NA
"KELANTAN",2015," 1",NA
"SARAWAK",2015," 1",NA
"SABAH",2015," 1",NA
"LABUAN",2015," 1",NA
"MALAYSIA",2015," 1","5"
"PERLIS",2010," 2",NA
"KEDAH",2010," 2",NA
