"NEGERI","year","week","No_of_dengue_case"
"PERLIS",2010," 1",NA
"KEDAH",2010," 1",NA
"PULAU PINANG",2010," 1",NA
"PERAK",2010," 1",NA
"SELANGOR",2010," 1",NA
"WPKL/PUTRAJAYA",2010," 1",NA
"N.SEMBILAN",2010," 1",NA
"MELAKA",2010," 1",NA
"JOHOR",2010," 1",NA
"PAHANG",2010," 1",NA
"TERENGGANU",2010," 1",NA
"KELANTAN",2010," 1",NA
"SARAWAK",2010," 1",NA
"SABAH",2010," 1",NA
"LABUAN",2010," 1",NA
"MALAYSIA",2010," 1",NA
"PERLIS",2011," 1","2"
"KEDAH",2011," 1","15"
"PULAU PINANG",2011," 1","42"
"PERAK",2011," 1","36"
"SELANGOR",2011," 1","170"
"WPKL/PUTRAJAYA",2011," 1","36"
"N.SEMBILAN",2011," 1","6"
"MELAKA",2011," 1","19"
"JOHOR",2011," 1","50"
"PAHANG",2011," 1","34"
"TERENGGANU",2011," 1","22"
"KELANTAN",2011," 1","28"
"SARAWAK",2011," 1","46"
"SABAH",2011," 1","14"
"LABUAN",2011," 1","1"
"MALAYSIA",2011," 1","521"
"PERLIS",2012," 1","2"
"KEDAH",2012," 1","13"
"PULAU PINANG",2012," 1","20"
"PERAK",2012," 1","34"
"SELANGOR",2012," 1","212"
"WPKL/PUTRAJAYA",2012," 1","35"
"N.SEMBILAN",2012," 1","8"
"MELAKA",2012," 1","15"
"JOHOR",2012," 1","37"
"PAHANG",2012," 1","13"
"TERENGGANU",2012," 1","17"
"KELANTAN",2012," 1","19"
"SARAWAK",2012," 1","10"
"SABAH",2012," 1","4"
"LABUAN",2012," 1","1"
"MALAYSIA",2012," 1","440"
"PERLIS",2013," 1","3"
"KEDAH",2013," 1","8"
"PULAU PINANG",2013," 1","13"
"PERAK",2013," 1","29"
"SELANGOR",2013," 1","199"
"WPKL/PUTRAJAYA",2013," 1","21"
"N.SEMBILAN",2013," 1","10"
"MELAKA",2013," 1","7"
"JOHOR",2013," 1","45"
"PAHANG",2013," 1","17"
"TERENGGANU",2013," 1","5"
"KELANTAN",2013," 1","23"
"SARAWAK",2013," 1","41"
"SABAH",2013," 1","25"
"LABUAN",2013," 1","0"
"MALAYSIA",2013," 1","446"
"PERLIS",2014," 1","1"
"KEDAH",2014," 1","9"
"PULAU PINANG",2014," 1","57"
"PERAK",2014," 1","32"
"SELANGOR",2014," 1","640"
"WPKL/PUTRAJAYA",2014," 1","75"
"N.SEMBILAN",2014," 1","31"
"MELAKA",2014," 1","36"
"JOHOR",2014," 1","60"
"PAHANG",2014," 1","8"
"TERENGGANU",2014," 1","32"
"KELANTAN",2014," 1","6"
"SARAWAK",2014," 1","23"
"SABAH",2014," 1","29"
"LABUAN",2014," 1","0"
"MALAYSIA",2014," 1","1039"
"PERLIS",2015," 1","10"
"KEDAH",2015," 1","20"
"PULAU PINANG",2015," 1","130"
"PERAK",2015," 1","349"
"SELANGOR",2015," 1","1406"
"WPKL/PUTRAJAYA",2015," 1","154"
"N.SEMBILAN",2015," 1","34"
"MELAKA",2015," 1","48"
"JOHOR",2015," 1","128"
"PAHANG",2015," 1","108"
"TERENGGANU",2015," 1","30"
"KELANTAN",2015," 1","32"
"SARAWAK",2015," 1","115"
"SABAH",2015," 1","69"
"LABUAN",2015," 1","0"
"MALAYSIA",2015," 1","2633"
"PERLIS",2010," 2",NA
"KEDAH",2010," 2",NA
