year,week,state,district,locality,total_locality_cases,outbreak_duration_days,total_state_cases,total_state_deaths,iso_year,total_rainfall_mm,mean_wind_speed,total_solar_radiation_mjm2,days_in_week
2010,9,SELANGOR,MPSJ,Pjs 9,17.0,109,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MBPJ,Flat Desa Mentari Pjs 6,24.0,99,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,Petaling,Seksyen 7 Flat  A,59.0,86,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MPSJ,Ss 18,63.0,85,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MPSJ,Usj 2,18.0,76,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MPSJ,Usj 11,62.0,75,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,Hulu Langat,Pangsapuri Sri Ayu Seksyen 4 Bandar Baru Bangi,39.0,69,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,Gombak,Kg Wira Damai,15.0,68,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,Petaling,Seksyen 7 Flat D,88.0,67,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,Petaling,Seksyen 7 Teres A,26.0,63,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,Petaling,Seksyen 7 Teres A,74.0,63,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,Gombak,Taman Samudera Timur,16.0,63,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MPAJ,Au5D Taman Keramat (Zon A),8.0,60,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,Petaling,Seksyen 7E B,54.0,60,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MBPJ,Mentari Court Pjs 8,20.0,58,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MPSJ,Ss 14,22.0,57,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,Gombak,Kg Desa Aman,20.0,56,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,Hulu Langat,Kuarters Penjara,20.0,55,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,Gombak,Taman Sri Gombak Fasa 9,15.0,52,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MBPJ,Apartment Suria Mas Pjs 10,10.0,50,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MBPJ,Flat Desaria Pjs 5,32.0,48,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MPSJ,Taman Universiti Indah 1,9.0,46,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,Hulu Langat,Seksyen 1 Bandar Rinching,9.0,41,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,Petaling,Seksyen 7 Flat B,12.0,41,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MBSA,Kolej Jati,11.0,40,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MBSA,Seksyen 7D,9.0,40,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MBPJ,Flat Taman Sri Manja Pjs 3,13.0,39,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MPAJ,Taman Melawati (Zon 5),15.0,38,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
2010,9,SELANGOR,MPSJ,Bandar Kinrara (6),10.0,38,496,2,2010,61.96666666666666,1.2904761904761906,148.35500000000005,7
