year,month_monday,state,district,locality,total_locality_cases,outbreak_duration_days,total_state_cases,total_state_deaths,total_rainfall_mm,mean_wind_speed,total_solar_radiation_mjm2,days_in_month,weeks_in_month
2010,3,JOHOR,MBJB,"Flat Larkin ,Bandaraya",20.0,33.5,104.0,1.0,58.600000000000016,1.9375000000000004,181.33000000000004,14,2
2010,3,JOHOR,MBJB,"Kg Melayu Majidee, Bandaraya",23.0,48.333333333333336,157.0,2.0,41.07500000000002,2.032142857142857,317.77,21,3
2010,3,JOHOR,MBJB,Kondo Bukit Saujana Bandaraya Jb,56.0,60.5,208.0,2.0,41.450000000000024,1.9767857142857146,416.46999999999997,28,4
2010,3,JOHOR,MBJB,"Larkin Jaya,Bandaraya",24.0,37.0,104.0,1.0,-17.149999999999995,2.0160714285714287,235.14,14,2
2010,3,JOHOR,MBJB,"Taman Gembira,Tebrau.",12.0,73.0,45.0,1.0,-1.7249999999999992,1.8357142857142856,129.22,7,1
2010,3,JOHOR,MBJB,"Taman Kenanga,Tebrau",25.0,40.333333333333336,178.0,2.0,97.95000000000002,1.9071428571428575,271.82000000000005,21,3
2010,3,JOHOR,MBJB,"Taman Scientex Jalan Serindit,Pelentong",38.0,75.0,157.0,2.0,41.07500000000002,2.032142857142857,317.77,21,3
2010,3,JOHOR,MPJBT,"Taman Desa Cemerlang Rumah Pangsa,Pelentong.",211.0,90.8,274.0,3.0,96.60000000000004,1.8735714285714287,499.74,35,5
2010,3,JOHOR,MPJBT,"Taman Pelangi Indah Flat Jalan Cantik,Tebrau.",70.0,69.75,229.0,2.0,98.32500000000003,1.8830357142857148,370.52000000000004,28,4
2010,3,JOHOR,MPPG,"Apartment Tg Putri Resort,Pelentong.",8.0,46.0,45.0,1.0,-1.7249999999999992,1.8357142857142856,129.22,7,1
2010,3,PAHANG,Kuantan,Taman Cenderawasih,114.0,47.0,139.0,0.0,97.58,1.3439999999999999,645.315,35,5
2010,3,PAHANG,Kuantan,Taman Indera Mahkota 5,18.0,35.5,49.0,0.0,47.56,1.3357142857142856,256.395,14,2
2010,3,PAHANG,Kuantan,Taman Pasdec Makmur,14.0,31.0,19.0,0.0,24.74,1.3028571428571432,123.585,7,1
2010,3,PERAK,Batang Padang,"Kg Baru Coldstrem, Bidor",7.0,33.0,46.0,0.0,14.7,1.4095238095238096,144.41,7,1
2010,3,PULAU PINANG,Timur Laut,"Lorong Nipah,Sungai Dua",6.0,37.0,23.0,0.0,-3.5333333333333328,2.5285714285714294,163.75,7,1
2010,3,SARAWAK,Bintulu,Bandar Baru Bintulu,52.0,98.5,365.0,1.0,228.85000000000002,1.603061224489796,393.84000000000003,28,4
2010,3,SARAWAK,Marudi,Long Teru,7.0,32.0,100.0,0.0,29.675,1.589795918367347,104.04,7,1
2010,3,SARAWAK,Meradong,No. 5 Jalan Teo Kui Ngo,6.0,33.0,87.0,1.0,75.48750000000003,1.56734693877551,103.78,7,1
2010,3,SARAWAK,Miri,Kg Baru Jalan Anting 2,158.0,79.5,365.0,1.0,228.85000000000002,1.603061224489796,393.84000000000003,28,4
2010,3,SARAWAK,Miri,Piasau Utara Lorong 3B,74.0,107.0,420.0,1.0,263.37500000000006,1.6,499.58000000000004,35,5
2010,3,SARAWAK,Miri,"Pujut Tanjung Batu, Lorong 1C",86.0,96.0,420.0,1.0,263.37500000000006,1.6,499.58000000000004,35,5
