state,iso_year,week,year,total_rainfall_mm,mean_wind_speed,total_solar_radiation_mjm2,days_in_week
Federal territory of Malaysia,2008,1,2008,60.0,2.6999999999999997,,6
Federal territory of Malaysia,2008,2,2008,30.700000000000003,2.085714285714286,,7
Federal territory of Malaysia,2008,3,2008,-12.1,1.7285714285714284,,7
Federal territory of Malaysia,2008,4,2008,-23.9,2.8999999999999995,,7
Federal territory of Malaysia,2008,5,2008,-33.3,3.414285714285714,,7
Federal territory of Malaysia,2008,6,2008,-16.9,4.628571428571429,,7
Federal territory of Malaysia,2008,7,2008,15.000000000000004,1.842857142857143,,7
Federal territory of Malaysia,2008,8,2008,165.00000000000003,1.7714285714285718,,7
Federal territory of Malaysia,2008,9,2008,8.4,2.0,,7
Federal territory of Malaysia,2008,10,2008,126.19999999999999,1.9285714285714286,,7
Federal territory of Malaysia,2008,11,2008,-26.9,3.071428571428572,,7
Federal territory of Malaysia,2008,12,2008,18.699999999999996,2.0,,7
Federal territory of Malaysia,2008,13,2008,1.000000000000007,1.2428571428571427,,7
Federal territory of Malaysia,2008,14,2008,33.0,1.1142857142857143,,7
Federal territory of Malaysia,2008,15,2008,159.39999999999998,2.0142857142857147,,7
Federal territory of Malaysia,2008,16,2008,-23.99999999999999,1.8285714285714285,,7
Federal territory of Malaysia,2008,17,2008,14.8,1.7285714285714284,,7
Federal territory of Malaysia,2008,18,2008,35.800000000000004,1.8,,7
Federal territory of Malaysia,2008,19,2008,52.0,2.0,,7
Federal territory of Malaysia,2008,20,2008,58.2,2.1285714285714286,,7
Federal territory of Malaysia,2008,21,2008,0.0,1.7571428571428573,,7
Federal territory of Malaysia,2008,22,2008,9.100000000000001,1.7285714285714284,,7
Federal territory of Malaysia,2008,23,2008,86.50000000000001,1.742857142857143,,7
Federal territory of Malaysia,2008,24,2008,73.60000000000001,1.657142857142857,,7
Federal territory of Malaysia,2008,25,2008,23.0,1.842857142857143,,7
Federal territory of Malaysia,2008,26,2008,-65.99999999999999,1.7285714285714284,,7
Federal territory of Malaysia,2008,27,2008,104.6,1.4714285714285713,,7
Federal territory of Malaysia,2008,28,2008,38.2,1.6142857142857143,,7
Federal territory of Malaysia,2008,29,2008,119.9,1.4285714285714286,,7
Federal territory of Malaysia,2008,30,2008,7.0000000000000036,2.4714285714285715,,7
Federal territory of Malaysia,2008,31,2008,21.2,1.3285714285714287,,7
Federal territory of Malaysia,2008,32,2008,-29.5,1.1142857142857143,,7
Federal territory of Malaysia,2008,33,2008,42.7,1.342857142857143,,7
Federal territory of Malaysia,2008,34,2008,83.10000000000001,1.4571428571428573,,7
Federal territory of Malaysia,2008,35,2008,70.2,1.5714285714285714,,7
Federal territory of Malaysia,2008,36,2008,196.0,2.2142857142857144,,7
